「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
「ー止（アッシ）」「ーめる（とどめる）」,遏,
「ー旋（アッセン）」「ーる（めぐる）」,斡,
「ー伽（アカ）」「ーぐ（ふさぐ）」,閼,
「ーく（こく、しごく）」,扱,
「ー（あっぱれ）」,遖,
「ー（あて、ずつ）」「ーも（あたかも）」「ーら（さながら）」,宛,
「ー針（アンジン）」「ーえる（おさえる）」,按,
「ー起（アンキ）」「ーい（おそい）」,晏,
「ー出（アンシュツ）」「ー（つくえ）」,案,
「ー室（アンシツ）」「ー（いおり）」,庵,
「ー剣殺（アンケンサツ）」「ーんじる（そらんじる）」,暗,
九星きゅうせいの方位の中で、最も凶とされる方位。これを犯すと剣難にあって、主人は使用人に、親は子に殺されることがあるという。,暗剣殺,
「ー法（アンポウ）」「ー（あみ）」,罨,
「ー転餅（アンころもち）」,餡,
「ー鱇（アンコウ）」,鮟,
「ー然（イゼン）」「ーに（すでに）「ーむ（やむ）」,已,
「木乃ー（みいら）」「ー（かれ、これ）」,伊,
「ー狄（イテキ）」「ー（えびす）」,夷,
「ーやす（いやす）」「醫（旧字体）,医,
「ーねる（ゆだねる）」「ーしい（くわしい）」「ーせる（まかせる）」,委,
「ー悦（イエツ）」「ーぶ（よろこぶ）」,怡,
「ー捨山（おばすてやま）」,姨,
「ー（はな、はなじる、なみだ）」,洟,
「ー藉（イシャ）」「ー信（イシン）」「ーる（よる）」,倚,
「慚ー（ザンイ）」,恚,
「ー駄天（イダテン）」「ー（なめしがわ）」,韋,
「大ー（タイイ）」「ー面（ジョウメン）」,尉,
「ー子（かたびら）」「ー（とばり、かたびら）」,帷,
原子が化学結合を作るときの電子対を引き付ける強さを表す尺度。ギリシャ文字のχで表される。フッ素が最も大きい値を取る。,電気陰性度,
原子内に同じエネルギーを持つ電子軌道が複数ある場合、まずは各軌道に同じ向きのスピンを持つ電子が一つずつ入るという規則。,フントの規則,
共有結合において、電子対が原子間の両側に存在する形式の結合のこと。電子対が結合軸を向いた原子軌道同士のσ結合に対していう。,π結合,
原子の最外殻電子の数が8個ある化合物やイオンは安定に存在するという経験則。,オクテット則,
単に「電子式」とも。原子の結合の様子を表すために最外殻電子を示す点を配置した式のこと。,ルイス構造式,
ベンゼンの構造式を表すときにも用いられる、分子の結合を線によって描く表記方法。,ケクレ構造,
ベンゼンなどに見られる、ある物質の分子構造がいくつかの結合構造の重ね合わせになっている状態。,共鳴,
化合物が芳香族性を示すための条件のこと。,ヒュッケル則,
分子内において電子が存在する軌道のうち、最もエネルギーの高いもののこと。「最高被占軌道」とも呼ばれる。,HOMO(highest occupied molecular orbital）⇔LOMO,
塩基性の試薬などが基質に電子を与えることによって起こるイオン反応。「アニオノイド反応」とも。,求核反応,
陽イオンなどが基質の不飽和結合や非共有電子対を攻撃することで起こるイオン反応。「カチオノイド反応」とも呼ばれる。,求電子反応,
分子内の置換基の電子効果がσ結合を通して伝達されること。,誘起（I)効果,
鏡像異性体を有する分子のように、重なり合わない関係のこと。ギリシャ語の「掌」という言葉に由来する形容詞。,キラル,
複数のキラル中心を持つ分子に多く見られる、立体異性体のうち鏡像異性体でないもの。,ジアステレオマー,
鏡像異性体が等量混合した物質。旋光性を持たないことを特徴とする。,ラセミ体,
分子内に複数のキラル中心を持つものの対称性があるために光学不活性になるような立体異性体。,メソ体,
化合物の命名法をまとめた勧告を出版している組織。正式名称は「国際純正・応用化学連合」。,IUPAC,
平安末期の天台宗学僧。悉曇の研究者で、現在の五十音の基礎を作った。,明覚,
中国で、各字の字音を表示するために漢字二字の字音を組み合わせて示す方法。,反切,
ラテン語で「一時的な、その場限り」の意。パソコンや携帯電話など、無線でネットワークに接続した端末だけで構成され、アクセスポイントや専用基地局を利用しないネットワークなども指す。,アドホック,
音楽で、掛け合い。メーンボーカルとコーラスの歌詞が呼応している形式のこと。また、コンサートなどで、演奏者の呼びかけに対して観客が応えること。,コール＆レスポンス,
アメリカの国民的愛唱歌。日本でも〈アルプス1万尺お山の上で〉という歌のメロディとして親しまれている。,ヤンキー･ドゥードル【Yankee Doodle】,
1840～80年頃アメリカで人気のあった演芸。顔を黒く塗った白人が，黒人の口調や動作をまねて歌ったり踊ったり，あるいは喜劇的な演技をする。ミュージカルの先行形態の一つ。,ミンストレル・ショー,
ブルースの音階上の特徴となっている音。3度と7度と5度を半音ずつ下げたもの。,ブルー・ノート,
アメリカのブルース・シンガー。「深夜の十字路で自分の魂を悪魔に売って」ギター・テクニックを得た、などの「クロスロード伝説」で知られる。妻を寝取られた男によって毒殺され、27歳の生涯を閉じた。,ロバート・ジョンソン,
「キング・オブ・ブルース」と呼ばれた、アメリカのブルースギター奏者・歌手。「ザ・ビール・ストリート・ブルース・ボーイ」と聴取者に呼ばれたことからその名が付けられた。,B.B.キング,
カリブ海地域で，現地で生まれ育った者を，ヨーロッパやアフリカで生まれ育った者と区別して呼んだ呼称。,クレオール,
1910年代後半からアメリカ合衆国のシカゴやニューヨークで流行したジャズの一種。ニューオーリンズで発生した。,ディキシーランド・ジャズ,
二〇世紀前半のアメリカ合衆国で、黒人霊歌とブルースが融合して生まれた福音歌。また、福音そのもの。,ゴスペル,
『天使にラブ・ソングを…』に主演したアメリカの女優。EGOTの達成者。,ウーピー・ゴールドバーグ,
エミー賞、グラミー賞、アカデミー賞、トニー賞の全てを獲得した人物に与えられる称号。,EGOT,
音楽ジャンルの一つ。リズム・アンド・ブルースがゴスペル・ソングの影響を受けながら，より大衆化したもの。,ソウル・ミュージック,
1940年代から1960年代前半のアメリカ黒人のポピュラー音楽。リズムを強調したブルースという意味を持つ。ロックンロールの母体。,R＆B（リズム・アンド・ブルース）,
アメリカの黒人の間に生まれた歌曲。 19世紀なかばから末にかけての奴隷解放に伴ってアメリカ南部で歌われるようになった。悲しみや嘆きを歌ったものが多い。,ブルース,
アフリカ系アメリカ人が奴隷時代につくったキリスト教宗教歌。ブラック・スピリチュアルズ。,黒人霊歌,
仕事をしながら，その作業のリズムを保って能率をあげ，あるいは単調な作業から気をまぎらし士気を鼓舞するために歌う作業歌。特にアメリカの黒人が歌ったもの。,ワーク･ソング,
米国のブルース作曲家。ブルースを採譜し楽譜として出版したことから「ブルースの父」と呼ばれる。『セントルイス・ブルース』で有名。,ウィリアム・クリストファー・ハンディ,
クラシック音楽以外の大衆音楽の総称。,ポピュラーミュージック,
ジャズで、メロディーをくずして即興演奏すること。,フェイク,
音楽で、楽譜を離れて自由に演奏すること。ラテン語のアド・リビトゥムad libitum（思うままに，自由に）の略。,アドリブ,
ニューオーリンズのR&B特有のリズム。ニューオーリンズでは黒人の葬式の時、ブラス・バンドが演奏しながら歩き、その後から子供たちが踊りながらついて行く。,セカンド・ライン・ビート,
デザイナーが独自に企画した最初のブランドに対し，それとは違うコンセプトを打ち出したブランド。,セカンド・ライン,
アメリカのロックン・ロール・ミュージックをつくり上げた黒人シンガー、ギタリスト。ジョン・レノンは、「ロックン・ロールを別のことばでいおうとするなら、それはーだ」という有名な賛辞をおくっている。代表曲は『Johnny B.Goode』など。,チャック・ベリー,
《田舎者を軽蔑的によんだ語から》カントリー音楽、なかでも泥臭さのあるものをさす語。,ヒルビリー,
ロックンロールと米国南東部の民謡ヒルビリーとが融合して生まれたポピュラー音楽。1950年代後半に流行。,ロカビリー,
管楽器を主体にした15名以上のジャズのオーケストラのこと。,ビッグ・バンド,
米国のソウル歌手。男性ソロ・シンガーとしてはグラミー賞の受賞回数が最も多い。,スティーヴィー・ワンダー,
アメリカを代表するロックンロール歌手。「ロックの王者」と呼ばれた。,エルビス・プレスリー,
アメリカの民謡のスタイルによるポピュラー音楽。P.シーガーやB.ディランなど、時に強い社会性をもつ。,フォーク・ソング,
アメリカのジャズ・トランペット奏者、歌手。愛称の「サッチモ（鞄のような大口）」でも知られる。代表曲は『What a winderful world』など。,ルイ・アームストロング,
アメリカのジャズ・クラリネット奏者，楽団指揮者。「キング・オブ・スイング」と呼ばれる。代表曲は『SING、SING、SING』など。,ベニー・グッドマン,
1920年代後期にシカゴで流行したピアノによるジャズのブルース演奏スタイル。,ブギウギ,
ジャズ史上最大の革新者。「ビ・パップ」創始者の一人。,チャーリー・パーカー,
アメリカのジャズ‐トランペット奏者。モダン・ジャズのスタイルを確立した。,マイルス・デイビス,
アメリカのシンガーソングライター。ベトナム戦争に対するプロテスト・ソング『風に吹かれて』などの作品で知られる。2016年にはノーベル文学賞を受賞した。,ボブ・ディラン,
イギリスのロックバンド。ボーカルのミック＝ジャガーや、キース＝リチャーズ・チャーリー＝ワッツなどからなり、ビートルズと人気を二分した。その名前はブルース歌手マディ・ウォーターの曲名に因む。,ローリングストーンズ,
アメリカのロック歌手、ギタリスト。『ヘイ・ジョー』『紫のけむり』などで知られる。その激しい演奏スタイルはロック界に大きな影響を残した。,ジミ・ヘンドリックス,
アメリカの女性ロック歌手。しゃがれ声を絞り出すような歌声が特徴。1970年にヘロインの過剰摂取で急死した。,ジャニス・ジョップリン,
アメリカのロック・グループ。ボーカルで作詞・作曲家のジム・モリソンが有名。代表曲は『ハートに火をつけて（Light My Fire）』など,ドアーズ,
既存の社会秩序，体制からドロップアウトする脱社会的な思想や行動に走り，あるいはそういうものを志向する者。1960年代後半，アメリカの若者たちの間に生間れた。,ヒッピー,
アメリカ合衆国、テネシー州中央部の都市。カントリーミュージックの町として発展した。また、その景観から「南部のアテネ」とも呼ばれる。,ナッシュビル,
アメリカのロックバンド。代表曲は『ホテル・カリフォルニア』など。,イーグルス,
アメリカの兄弟からポップス・デュオ。その名前は彼らのファミリーネームに由来する。代表曲は『遙かなる影』『トップ・オブ・ザ・ワールド』など。,カーペンターズ,
イギリスのロックバンド。ジミー・ページ、ロバート・プラント、ジョン・ポール・ジョーンズ、ジョン・ボーナムの4人からなる。『移民の歌』などが知られる。,レッド・ツェッペリン,
イギリスのロックバンド。『ハイウェイスター』『Burn』などが知られる。,ディープ・パープル,
1969年，米国のニューヨーク郊外の農場で開催されたロック・フェスティバル。ヒッピー・カルチャーが盛り上がる中で，30万人を超える聴衆が集まった。,ウッドストック・フェスティバル,
インドネシアの代表的な器楽合奏およびその音楽。,ガムラン,
19世紀後半に流行した2/4拍子の活発な舞曲。チェコ語で「ポーランドの娘」を意味する。,ポルカ,
生体の発達の比較的初期において，ある刺激 (経験) が与えられたとき，その効果が最もよく現れる時期のこと。,臨界期,
人が意思決定をしたり判断を下すときに、厳密な論理で一歩一歩答えに迫るのではなく、直感で素早く解に到達する方法のこと。リンダ問題によって考察される「代表性」や「利用可能性」などの種類がある。,ヒューリスティックス,
最初に印象に残った数字や物がその後の判断に影響を及ぼすこと。船が錨を降ろすと錨と船を結ぶともづなの範囲しか動けない比喩から。,アンカリング効果,
アメリカとイスラエルの二重国籍をもつ経済心理学・行動経済学者。2002年にノーベル経済学賞を受賞した。人間は現状からの「得」よりも「損」に大きく反応する「損失回避の現象」をとる、という「プロスペクト理論」で知られる。,ダニエル・カーネマン,
「今この瞬間」に起こっていることに注意を向けないで、目の前の課題とは全く関係のないことを考えて、さまよう状態のこと。,マインドワンダリング,
今この瞬間の自身の精神状態に深く意識を向けること。またそのために行われる瞑想。,マインドフルネス,
問題や質問の提示のされ方によって意思決定が異なること。例：「満足度87%　or　不満足13%」など。,フレーミング効果,
自分の願望や信念を裏付ける情報を重視・選択し、これに反証する情報を軽視・排除する心的傾向。4枚カード問題（ウェイソン選択課題）によるものが有名。,確証バイアス,
事前に知っている確率を無視して、後から出てくる確率にだけ注目してしまう心理的傾向。,事前確率の無視（基準率の無視）,
人種・宗教・性別などの違いによる偏見・差別を含まない、中立的な表現や用語を用いること。,ポリティカル‐コレクトネス,
外的な状況を無視して、人の内的な特性に原因を求める心理的傾向のこと。,対応バイアス,
他人の行動はその人の内的な特性に、自分の行動は外的な状況に原因を求める心理的傾向のこと。,行為者-観察者バイアス,
良い出来事は自分の内的な特性に、悪い出来事は外的な状況に原因を求める心理的傾向のこと。,自己奉仕バイアス,
乳幼児が不安や不快などストレスを感じている状況で、自分の親など周囲の養育者に対して泣いて訴える、あるいは接触を求めて甘えるなどして、親密なきずなを形成しようとする行動。,愛着（アタッチメント）,
愛着行動の一つで，生後半年ぐらいの乳児がある特定の状況において示すほほえみ。自分で動くことのできない乳児が微笑を示すことによって，親たちを自分の側へひきつける機能をもつ。,微笑反応,
オーストリアの動物学者。刷り込みや攻撃性などの概念の提唱により1973年にノーベル生理学医学賞を受賞した。動物行動学（エソロジー）を確立した。,コンラート・Z・ローレンツ,
他者の心を類推し、理解する能力。サリー・アン課題などによって確かめられる。,心の理論,
発声を伴わずに自分自身の心のなかで用いる言葉。,内言,
スイスの心理学者ジャン・ピアジェが提唱した概念。幼児に見られる、他者への伝達を目的としない非社会的言語活動のこと。他者の立場で考えることができない、幼児の心理的特徴が反映されており、これが社会的言語に発展していくとした。一方でソ連のレフ・ヴィゴツキーは、これは外言から内言が発達する過渡期に現れるもので、いわば不完全な内言にあたると考え、論争が起きた。,自己中心語,
主に子供に見られる、経験的な思い込みにより概念形成している考え方のこと。,素朴理論,
「芙蓉湖」とも呼ばれる長野県の湖。その湖底からは大量のナウマンゾウの化石が発掘されている。,野尻湖,
静岡県で発見された、更新世の化石人骨。同じく有名なものとして、沖縄県で発見された「港川人」がある。,浜北人,
日本で最初に発見されたとされる化石人類。アマチュア考古学者の直良信夫によってかつて日本に住んでいた原人であると主張されたが、戦災によって標本が焼失してしまった。,明石原人,
現在のところ世界最古とされる人類の祖先。その種小名はチャドで発見されたことから。,サヘラントロプス・チャデンシス,
サヘラントロプスの発見まで「最古の人類」とされていた猿人。全身骨格を復元した際に用いられた化石には「アルディ」の愛称がつけられた。,ラミダス猿人,
「南の猿」という意味を持つ猿人の一種。これの女性個体として知られる「ルーシー」は、発見者がお祝いパーティーをしていたときに、ラジカセからビートルズの「ルーシー・イン・ザ・スカイ・ウィズ・ダイアモンズ」が聞こえてきたことにその名を由来する。,アウストラロピテクス,
人類進化の二段階目に相当するヒト属。ホモ・エレクトゥスとも。,原人,
「能力ある人」という意味を持つ。最初期のヒト属とも、猿人に近いともされるが詳細は不明。,ホモ・ハビリス,
ホモ・エルガステルの少年個体に付けられた愛称。全身の60%の骨が残っており、本種の成長過程を明らかにする上で大きく役割を果たした。ナリオコトメ・ボーイとも。,トゥルカナ・ボーイ,
ネアンデルタール人と現生人類との分岐点とされる、化石人類の一種。,ハイデルベルク人,
身長が1mほどの小型人類。ジャワ原人がフローレス島に渡って島嶼化したものとされる。,ホモ・フローレシエンシス,
アメリカの心理学者アブラハム・マズローが提唱した。人間の欲求が、生理的欲求、安全・安定の欲求、愛情・所属の欲求、承認・自尊の欲求、自己実現の欲求の順で高次に移るとした。,欲求段階説,
自分がある状況において必要な行動をうまく遂行できると、自分の可能性を認知していること。,自己効力感,
報酬などの外発的動機づけ（誘因）によって、すでにあった内発的動機づけが低下すること。,アンダーマイニング効果,
「あなたはクラスで一番だ」などの言語的報酬によって発的動機づけが高まること。,エンハンシング効果,
欲求不満（フラストレーション）や葛藤から自己を守るために、抵抗しようとする心理メカニズム。ドイツの心理学者ジークムント・フロイトによって考え出され、その娘のアンナによって整理された。退行や抑圧、反動形成など多くの種類がある。,防衛機制,
心理学用語。燃料タンク内の現在の残量を示すメーターのように，自尊感情がその時々の社会適応度を刻刻と表わす指標として機能するという理論。,ソシオメーター理論,
心理学用語。他人の不幸や失敗を見て喜ぶ気持ちのこと。,シャーデンフロイデ,
精神分析の用語。フロイトが、人間の性本能の基底となるエネルギーとして規定した概念。,リビドー,
スイスの心理学者。人間の性格を内向型と外向型に分類した。また、この類型論（タイプ論）を発展させたMBTI（マイヤーズ・ブリッグスタイプ指標）が開発されている。,カール・グスタフ・ユング,
ドイツの精神医学者。特定の精神疾患と体格との間に相関関係があるとして，体格をおもに細長型，肥満型，闘士型の 3種に分類した。,エルンスト・クレッチマー,
アメリカの医学者，心理学者。身体の形態学･生理学的特質と行動心理との関係を、内胚葉型(内臓緊張性)，中胚葉型(身体緊張性)，外胚葉型(脳緊張性)に分類した。,ウィリアム・シェルドン,
ドイツの哲学者，心理学者，教育学者。人間の基本的な類型として，理論的人間，経済的人間，美的人間，社会的人間，権力的人間，宗教的人間の6つに区分した。,エドゥアルト・ジュプランガー,
ドイツ生まれのイギリスの心理学者。性格や人格（パーソナリティ）を、内向性-外向性と神経症傾向の2次元、もしくは精神病傾向を加えた3次元で表現しようとした。また、この考えからモーズレイ性格検査（MPI）が開発された。,ハンス・アイゼンク,
必要な資料を得るために、調査事項をあらかじめ質問の形で記載した用紙を調査対象に配布して、回答を集計・分析する方法。,質問紙法,
人の自我の状態をいろいろな側面に分けて分析し，どの部分が強く，どの部分が弱いかを調べグラフ状にしたもの。CP(批判的親)、NP(養育的親)、A(大人)、FC(自由な子供)、AC(順応した子供)の5つの状態からなる。,エゴグラム,
人間の性格特性が大きく五つの次元から成るという考え方。神経症傾向、外向性、開放性、調和性、誠実性の五つ。,ビッグファイブ理論,
将来に消費することよりも現在に消費することを好む程度。,時間選好率,
抵抗することも回避することも困難なストレスに長期間さらされ続けると、そうした不快な状況下から逃れようとする自発的な行動すら起こらなくなる現象。サーカスの象やカマス理論の例えでも知られる。,学習性無力感,
不安障害に用いられる行動療法の一種。不安や苦痛を克服するため、患者が恐怖を抱いている物や状況に対して、危険を伴うことなく直面させることを特徴とする。,暴露療法,
条件づけの理論に従って、不安、恐怖、強迫症状などを治療しようとする療法のこと。,行動療法,
バラス・スキナーによって開発された行動療法の一つ。目的とする行動の変化（増加・減少）にたどり着くために、その方向で少しやりやすい変化をもたらす所から始め、徐々に目的に近づけて行くやり方。,シェーピング法,
自己暗示の練習によって全身の緊張を除き、心と体の状態を自分でうまく調整できるようになることを目的とする段階的訓練法。,自律訓練法,
ストレスの基（ストレッサー）にうまく対処しようとすること。,ストレスコーピング,
心理学において、困難で脅威を与える状況にもかかわらず，うまく適応する過程や能力のこと。精神的回復力とも。,レジリエンス,
「悲しいから泣くのではなく，泣くから悲しいのだ」という説。,ジェームズ＝ランゲ説,
外的な変化に対し、人間の身体が次第に変化していく機能のこと。,アロスタシス,
遺伝子の配列が変化することなしに、遺伝子の働きが変化する現象、もしくはその学問領域。,エピジェネクティクス,
他者のある動作を見たとき、自分もその動作をしているかのように反応する神経細胞。,ミラーニューロン,
画像付き。大きさの錯視によるもの。,ミュラー・リヤー錯視,images/bot/myura.jpg
画像付き。大きさの錯視によるもの。,ポンゾ錯視,images/bot/ponzo.jpg
画像付き。方向の錯視によるもの。,ポゲンドルフ錯視,images/bot/pogen.jpg
画像付き。方向の錯視によるもの。,カフェウォール錯視,images/bot/cuffe.jpg
画像付き。大きさの錯視によるもの。,ジャストロー錯視,images/bot/jast.jpg
画像付き。大きさの錯視によるもの。,エビングハウス錯視,images/bot/ebi.jpg
画像付き。反転の錯視によるもの。,ネッカーの立方体,images/bot/neck.jpg
画像付き。不可能の錯視によるもの。,不可能の立方体,images/bot/huka.jpg
イギリスの数理物理学者、数学者。2020年、数学的に「一般相対性理論を基にブラック・ホールが形成されることを証明した」業績が評価され、ノーベル物理学賞を受賞した。また、錯視を用いた「三角形」や「階段」などのデザインを考案した。,ロジャー・ペンローズ,
画像付き。不可能の錯視によるもの。,ブリヴェット(悪魔のフォーク),images/bot/foke.jpg
画像付き。色・明るさの錯視によるもの。,チェッカーシャドウ錯視,images/bot/check.jpg
画像付き。運動の錯視によるもの。,蛇の回転,images/bot/hebi.jpg
画像付き。シルエット錯視によるもの。,スピニング・ダンサー,images/bot/spin.jpg
画像付き。湾曲の錯視によるもの。,ヘリング錯視,images/bot/hering.jpg
ドイツの高校教師がネアンデル谷（タールは谷の意）で発見した旧人。現生人類よりもがっしりした体格で、脳も同程度に大きかったが前頭葉の発達が悪く、抽象的な言語を操る能力は無かったとされる。また、現生人類と長い間併存していたと見られている。,ネアンデルタール人,
人類進化の最終段階で現生人類に相当する。現生化石人類ではクロマニョン人の他に周口店上洞人やグリマルディ人などが知られる。,新人,
凡人は大人物や大事業の一部分しかつかめず、大局からの見方はできないということ。,群盲 象を評す,
ある言語を母語とする人の認識・思考はその言語によって影響されるという説。,サピア＝ウォーフの仮説,
古典語とゲルマン語の間にみられる子音対応に関する規則。pの音がfになるなど。,グリムの法則,
聞き手や話題の中の人物に対して、話し手の尊敬や卑しめの気分を言い表す言語表現。,待遇表現,
日本語などが該当する、言語の構造類型の一つ。文中における単語間の文法的な関係を示すために、それぞれの単語にそれぞれ特有な意味や機能をもったことば（形態素）を結び付けていくタイプの言語。,膠着語,
中国語などが該当する、言語の構造類型の一つ。文中における単語間の文法的な関係が、語順や接続詞などによってしか表されず、いわゆる語形変化のまったくないとされる言語。,孤立語,
ラテン語系の言語などが該当する、言語の構造類型の一つ。文中における単語間の文法的な関係を示すために、単語の語幹に各種の文法範疇を表す語尾をつける言語。,屈折語,
比喩法の一。たとえだけを提示して、その本義を間接的に推察させる方法。「燕雀えんじゃく安いずくんぞ鴻鵠こうこくの志を知らんや」が、小人物に大人物の心はわからないの意をさとらせる類。,諷喩,
比喩法の一。全体と部分との関係に基づき、「花」（全体）で「桜」（部分）を、「小町」（部分）で「美人」（全体）を表現する類。,提喩,
比喩法の一。ある物を言い表わす場合に，その「青い目」で「西洋人」を、「鳥居」で「神社」を表す類。物の属性や，それに関連の深い物をもって言い換えて，その本体の物を表わす方法。,換喩,
修辞法の一。無生物を生き物（特に人間）であるかのように表現する方法。,活喩,
文の中で、叙述内容に関する話者の心的態度を表わす部分。「〜だろう」「〜方が良い」など。,モダリティ,
意味の違いに関わる最小の音声的な単位。,音素,
同一の形態素を重ねて用いた形式の複合語。「人々」「重ね重ね」など。,畳語,
意味をもつ最小の形式的単位を表す言語学の用語。「日本語」→「日本」「語」など。,形態素,
1946年から1981年まで用いられた、漢字制限を目的として，現代国語を書き表すために，日常使用する漢字の範囲を定めた当用漢字表にある1850の漢字。常用漢字に代わった。,当用漢字,
単語が結合した場合に、後項の語頭の清音が濁音化する事象。「青空」の類。,連濁,
中国語南方方言に基づくものとされる漢字音。仏教経典の読みなどに多く用いられる。境内の「内」や天女の「女」など。,呉音,
呉音に次いで，隋唐時代に遣唐使や留学僧などにより日本に伝えられた漢字音。内部の「内」や女性の「女」など。,漢音,
呉音，漢音に続いて，日本にもたらされた漢字音。「行灯」「暖簾」など。,唐音,
構造言語学の音韻論で、同一音素の変異形のうち、位置ないし条件によって変異するもの。例えば、英語で keep［kiːp］とcool［kuːl］の二つの［k］は調音点を少し異にする同一音素。,異音,
個人のなかに複数の外国語の能力がさまざまな形で存在していると考える立場。人はコミュニケーションをする際にその自分がもてる言語能力・知識を総動員して用いているとする。,複言語主義,
文脈に依存して指示対象が決まる表現の言語使用。「私」「上」「今日」など。,直示,
言語学習において、文法などの言語形式よりコミュニケーションを重視する考え方。逆に言語形式を重視する考え方は「フォーカス・オン・フォームズ」という。,フォーカス・オン・ミーニング（FonM）,
文中のある語を強調するために、特に強く発音すること。,プロミネンス,
ある概念領域を別の概念領域を通して理解するという認知の仕組み。通常の表現「大きな荷物を抱えて歩く」に対する「不安を抱える」の類。,概念メタファー,
1点のみ言語形式の違う2つの単語のことをいう。「枯れ木」と「瓦礫」など。,ミニマル・ペア,
過去の経験や外部の環境に関する構造化された知識の集合。,スキーマ,
バイリンガルの中でも、二言語ともに年相応のレベルまで達していない人、またはその状態。,ダブル・リミテッド,
言語のありのままの状態を記述するのではなく、正しい言語表現と考えられる言葉のきまりを述べた文法。,規範文法,
話し手から聞き手に伝達される情報のうち、言語以外の情報。話すときの声の強弱や高低、イントネーション、身振りなど。,パラ言語（ランゲージ）,
自動車を特徴のある形状（低い車高など）に改造した車両のこと。チカーノ発祥の文化。,ローライダー,
メキシコ系のアメリカ人。,チカーノ,
スペイン語を母国語とする中南米出身者やその子孫で、米国に居住する人々。アメリカ最大のマイノリティーで、一般にはヒスパニックと呼ばれる。,ラティーノ,
フランスの人類・民俗学者。「通過儀礼」の概念を提唱し、これを分離、過渡、統合の3段階に分割した。,アーノルド・ヴァン＝ジェネップ,
儀礼として男女性器の一部を切除または切開する宗教的習俗。ユダヤ教などに見られる。,割礼,
アボリジニーの民族楽器。木製の管楽器で、ユーカリの木にシロアリを入れ、芯を食べさせて作る。,ディジュリドゥー,
呼吸の間も絶え間なく口から空気を吐き出すことによって息継ぎの無音時間をなくす演奏技法。,循環呼吸,
先史美術および現存する部族社会の美術の総称。「ウィレンドルフのヴィーナス」やオセアニア美術など。,原始美術（プリミティブ・アート）,
「人間」を意味する、カナダ北西部準州（ヌナブトは彼らの言葉で「我が大地」の意）に住む狩猟民族の自称。旧来は「生肉を食べるもの」を意味するエスキモーと呼称された。氷で作ったイグルーに住む。,イヌイット,
ポリネシア語で「はっきり印をつけられた」を意味する言葉。J・クックによってイギリス社会に輸入された。何かしらの境界領域のものがタブーとして位置付けられることが多い。昼と夜の間である「逢魔時」や身体と外界の間である「排泄」「出血」など。,タブー,
奄美群島や沖縄を中心に見られる巫女。死者の口寄せなどを行う。公的巫女のノロに対して、民間の宗教的職能者としての立場を持つ。,ユタ,
巫女が神がかり状態となり，諸神霊との直接交通によって行う原始的・呪術的な宗教形態。ツングースにおける巫女「サマン」にその名を由来する。,シャーマニズム,
未開社会において、身近な具体的対象にさまざまな意味を記号的に持たせること。レヴィ＝ストロースが『野生の思考』の中で提唱した概念で、トーテミズムにおいて貴族階層と平民階層をタカとカラスの対比で表す類。本来は片手間に行う手仕事を意味する。,ブリコラージュ,
アメリカの女性人類学者ルース・ベネディクトの主著の一つ。第二次世界大戦下のアメリカの一連の戦時研究のなかから生まれた。直接現地調査ができなかったにもかかわらず、日本の文化を、内面に善悪の絶対の基準をもつ西洋の「罪の文化」とは対照的な、内面に確固たる基準を欠き、他者からの評価を基準として行動が律されている「恥の文化」として大胆に類型化した。,『菊と刀』,
ポーランド生れのイギリスの人類学者。著書『西太平洋の遠洋航海者』の中でクラ交易について考察し、フィールドワークの方法論を確立した。,ブロニスワフ・マリノフスキ,
都会の住民が農山村に滞在し，自然や文化を体験する旅行の形態。,グリーンツーリズム,
第2次世界大戦後の経済発展を背景に、それまで富裕層に限られていた観光旅行が、幅広く大衆にまで拡大した現象。,マスツーリズム,
障害者や高齢者など、移動やコミュニケーションにおける困難さに直面する人々のニーズに応えながら、誰もが旅を楽しめることを目指す取り組みのこと。,アクセシブル・ツーリズム,
団体旅行やツアーで使われることを前提に旅行代理店が航空会社から割安で仕入れたチケットの価格。包括運賃とも。,IT運賃,
航空事業やホテル事業などにおいてしばしばみられる、収益を増加させるための経営戦略の一つ。,イールド・マネジメント,
海外の航空機が自国に到着した後、さらに第三国へ運航ができる権利のこと。シカゴ条約に基づく「空の自由」に盛り込まれた。,以遠権,
企業や団体が自らの組織内に作った旅行会社のこと。旅行会社へ支払っていた出張旅費を内部に還流させ、社員のレジャー需要を取り込み、新たに雇用を確保することを目的に、主に1970年代後半から80年代にかけて作られた。,インハウス・エージェント,
販売コンテストやキャンペーンでの成績優秀な社員や販売店などを対象に、企業が報奨として行う旅行のこと。,インセンティブ旅行,
外国人が訪れてくる旅行のこと。これに対して、自国から海外に行くものは「アウトバウンド」とも呼ばれる。,インバウンド,
海外旅行販売に欠かせない旅行先の知識にたけた人材を育成する制度。日本人に人気のある旅行先が８つのエリアに分けられており、その中から受講したいエリアを選び、観光地理、歴史、文化、自然、飲食、ショッピング、ビジネスなどに関するエリア特性や国・地域ごとの知識を習得する。,エリア・スペシャリスト,
特定の観光地において、訪問客の著しい増加等が、地域住民の生活や自然環境、景観等に対して受忍限度を超える負の影響をもたらしたり、観光客の満足度を著しく低下させるような状況。,オーバーツーリズム,
